[2025-07-14 08:17:29] === INÍCIO DA EXECUÇÃO ===
[2025-07-14 08:17:31] Conectado ao navegador com sucesso.
[2025-07-14 08:17:31] 679 processos válidos encontrados.
[2025-07-14 08:17:31] Iniciando scraping do processo: 71000.017395/2024-11
[2025-07-14 08:17:34] ℹ️ Processo 71000.017395/2024-11 sem links.
[2025-07-14 08:17:34] Iniciando scraping do processo: 71000.021986/2024-85
[2025-07-14 08:17:37] ℹ️ Processo 71000.021986/2024-85 sem links.
[2025-07-14 08:17:37] Iniciando scraping do processo: 71000.017320/2024-22
[2025-07-14 08:17:40] ℹ️ Processo 71000.017320/2024-22 sem links.
[2025-07-14 08:17:40] Iniciando scraping do processo: 71000.011829/2024-61
[2025-07-14 08:17:43] ℹ️ Processo 71000.011829/2024-61 sem links.
[2025-07-14 08:17:43] Iniciando scraping do processo: 71000.018234/2024-37
[2025-07-14 08:17:46] ℹ️ Processo 71000.018234/2024-37 sem links.
[2025-07-14 08:17:46] Iniciando scraping do processo: 71000.057138/2024-12
[2025-07-14 08:17:48] ℹ️ Processo 71000.057138/2024-12 sem links.
[2025-07-14 08:17:48] Iniciando scraping do processo: 71000.053119/2024-17
[2025-07-14 08:17:51] ℹ️ Processo 71000.053119/2024-17 sem links.
[2025-07-14 08:17:51] Iniciando scraping do processo: 71000.078968/2024-75
[2025-07-14 08:17:55] ℹ️ Processo 71000.078968/2024-75 sem links.
[2025-07-14 08:17:55] Iniciando scraping do processo: 71000.013151/2024-51
[2025-07-14 08:17:57] ℹ️ Processo 71000.013151/2024-51 sem links.
[2025-07-14 08:17:57] Iniciando scraping do processo: 71000.013464/2024-18
[2025-07-14 08:18:00] ℹ️ Processo 71000.013464/2024-18 sem links.
[2025-07-14 08:18:00] Iniciando scraping do processo: 71000.011289/2024-16
[2025-07-14 08:18:03] ℹ️ Processo 71000.011289/2024-16 sem links.
[2025-07-14 08:18:03] Iniciando scraping do processo: 71000.012057/2024-85
[2025-07-14 08:18:05] ℹ️ Processo 71000.012057/2024-85 sem links.
[2025-07-14 08:18:05] Iniciando scraping do processo: 71000.012440/2024-33
[2025-07-14 08:18:08] ℹ️ Processo 71000.012440/2024-33 sem links.
[2025-07-14 08:18:08] Iniciando scraping do processo: 71000.042731/2024-56
[2025-07-14 08:18:11] ℹ️ Processo 71000.042731/2024-56 sem links.
[2025-07-14 08:18:11] Iniciando scraping do processo: 71000.012866/2024-97
[2025-07-14 08:18:13] ℹ️ Processo 71000.012866/2024-97 sem links.
[2025-07-14 08:18:13] Iniciando scraping do processo: 71000.024567/2024-03
[2025-07-14 08:18:16] ℹ️ Processo 71000.024567/2024-03 sem links.
[2025-07-14 08:18:16] Iniciando scraping do processo: 71000.039521/2024-81
[2025-07-14 08:18:18] ℹ️ Processo 71000.039521/2024-81 sem links.
[2025-07-14 08:18:18] Iniciando scraping do processo: 71000.013194/2024-37
[2025-07-14 08:18:22] ℹ️ Processo 71000.013194/2024-37 sem links.
[2025-07-14 08:18:22] Iniciando scraping do processo: 71000.014192/2024-65
[2025-07-14 08:18:24] ℹ️ Processo 71000.014192/2024-65 sem links.
[2025-07-14 08:18:25] Iniciando scraping do processo: 71000.041577/2024-03
[2025-07-14 08:18:27] ℹ️ Processo 71000.041577/2024-03 sem links.
[2025-07-14 08:18:27] Iniciando scraping do processo: 71000.011432/2024-70
[2025-07-14 08:18:30] ℹ️ Processo 71000.011432/2024-70 sem links.
[2025-07-14 08:18:30] Iniciando scraping do processo: 71000.011414/2024-98
[2025-07-14 08:18:33] ℹ️ Processo 71000.011414/2024-98 sem links.
[2025-07-14 08:18:33] Iniciando scraping do processo: 71000.016543/2024-72
[2025-07-14 08:18:36] ℹ️ Processo 71000.016543/2024-72 sem links.
[2025-07-14 08:18:36] Iniciando scraping do processo: 71000.012976/2024-59
[2025-07-14 08:18:38] ℹ️ Processo 71000.012976/2024-59 sem links.
[2025-07-14 08:18:38] Iniciando scraping do processo: 71000.011296/2024-18
[2025-07-14 08:18:41] ℹ️ Processo 71000.011296/2024-18 sem links.
[2025-07-14 08:18:41] Iniciando scraping do processo: 71000.011242/2024-52
[2025-07-14 08:18:44] ℹ️ Processo 71000.011242/2024-52 sem links.
[2025-07-14 08:18:44] Iniciando scraping do processo: 71000.016882/2024-59
[2025-07-14 08:18:46] ℹ️ Processo 71000.016882/2024-59 sem links.
[2025-07-14 08:18:46] Iniciando scraping do processo: 71000.013169/2024-53
[2025-07-14 08:18:49] ℹ️ Processo 71000.013169/2024-53 sem links.
[2025-07-14 08:18:49] Iniciando scraping do processo: 71000.010973/2024-81
[2025-07-14 08:18:53] ℹ️ Processo 71000.010973/2024-81 sem links.
[2025-07-14 08:18:53] Iniciando scraping do processo: 71000.012180/2024-04
[2025-07-14 08:18:56] ℹ️ Processo 71000.012180/2024-04 sem links.
[2025-07-14 08:18:56] Iniciando scraping do processo: 71000.022697/2024-01
