[2025-08-11 11:42:01] === INÍCIO DA EXECUÇÃO ===
[2025-08-11 11:42:01] Conectado ao navegador com sucesso.
[2025-08-11 11:42:02] 683 processos válidos encontrados.
[2025-08-11 11:42:02] Iniciando scraping do processo: 71000.017349/2024-12
[2025-08-11 11:42:05] ℹ️ Processo 71000.017349/2024-12 sem links.
[2025-08-11 11:42:05] Iniciando scraping do processo: 71000.013478/2024-23
[2025-08-11 11:42:08] ℹ️ Processo 71000.013478/2024-23 sem links.
[2025-08-11 11:42:08] Iniciando scraping do processo: 71000.088417/2024-10
[2025-08-11 11:42:11] ℹ️ Processo 71000.088417/2024-10 sem links.
[2025-08-11 11:42:11] Iniciando scraping do processo: 71000.011753/2024-74
[2025-08-11 11:42:14] ℹ️ Processo 71000.011753/2024-74 sem links.
[2025-08-11 11:42:14] Iniciando scraping do processo: 71000.017395/2024-11
[2025-08-11 11:42:16] ℹ️ Processo 71000.017395/2024-11 sem links.
[2025-08-11 11:42:16] Iniciando scraping do processo: 71000.021986/2024-85
[2025-08-11 11:42:19] ℹ️ Processo 71000.021986/2024-85 sem links.
[2025-08-11 11:42:19] Iniciando scraping do processo: 71000.017320/2024-22
[2025-08-11 11:42:22] ℹ️ Processo 71000.017320/2024-22 sem links.
[2025-08-11 11:42:22] Iniciando scraping do processo: 71000.011829/2024-61
[2025-08-11 11:42:24] ℹ️ Processo 71000.011829/2024-61 sem links.
[2025-08-11 11:42:24] Iniciando scraping do processo: 71000.018234/2024-37
[2025-08-11 11:42:27] ℹ️ Processo 71000.018234/2024-37 sem links.
[2025-08-11 11:42:27] Iniciando scraping do processo: 71000.057138/2024-12
[2025-08-11 11:42:30] ℹ️ Processo 71000.057138/2024-12 sem links.
[2025-08-11 11:42:30] Iniciando scraping do processo: 71000.053119/2024-17
[2025-08-11 11:42:32] ℹ️ Processo 71000.053119/2024-17 sem links.
[2025-08-11 11:42:32] Iniciando scraping do processo: 71000.078968/2024-75
[2025-08-11 11:42:35] ℹ️ Processo 71000.078968/2024-75 sem links.
[2025-08-11 11:42:35] Iniciando scraping do processo: 71000.013151/2024-51
[2025-08-11 11:42:38] ℹ️ Processo 71000.013151/2024-51 sem links.
[2025-08-11 11:42:38] Iniciando scraping do processo: 71000.013464/2024-18
[2025-08-11 11:42:40] ℹ️ Processo 71000.013464/2024-18 sem links.
[2025-08-11 11:42:40] Iniciando scraping do processo: 71000.011289/2024-16
[2025-08-11 11:42:43] ℹ️ Processo 71000.011289/2024-16 sem links.
[2025-08-11 11:42:43] Iniciando scraping do processo: 71000.012057/2024-85
[2025-08-11 11:42:46] ℹ️ Processo 71000.012057/2024-85 sem links.
[2025-08-11 11:42:46] Iniciando scraping do processo: 71000.012440/2024-33
[2025-08-11 11:42:48] ℹ️ Processo 71000.012440/2024-33 sem links.
[2025-08-11 11:42:48] Iniciando scraping do processo: 71000.042731/2024-56
[2025-08-11 11:42:51] ℹ️ Processo 71000.042731/2024-56 sem links.
[2025-08-11 11:42:51] Iniciando scraping do processo: 71000.012866/2024-97
[2025-08-11 11:42:54] ℹ️ Processo 71000.012866/2024-97 sem links.
[2025-08-11 11:42:54] Iniciando scraping do processo: 71000.024567/2024-03
[2025-08-11 11:42:56] ℹ️ Processo 71000.024567/2024-03 sem links.
[2025-08-11 11:42:56] Iniciando scraping do processo: 71000.039521/2024-81
[2025-08-11 11:42:59] ℹ️ Processo 71000.039521/2024-81 sem links.
[2025-08-11 11:42:59] Iniciando scraping do processo: 71000.013194/2024-37
[2025-08-11 11:43:02] ℹ️ Processo 71000.013194/2024-37 sem links.
